time1,time2,lat1,lon1,alt1,lat2,lon2,alt2,Nationality
3244,4651,9.647318947,2.343134618,305,3.90115501,-73.07336878,221,Benin
3224,4639,12.27792938,-1.740140917,10363,-35.37643789,-65.16772759,693,Burkina Faso
3245,4339,12.27792938,-1.740140917,914,-10.77310899,-53.08981997,114,Burkina Faso
3373,4465,12.27792938,-1.740140917,305,-10.77310899,-53.08981997,152,Burkina Faso
3366,4767,12.27792938,-1.740140917,-305,-10.77310899,-53.08981997,11887,Burkina Faso
3418,4335,12.27792938,-1.740140917,1829,-10.77310899,-53.08981997,84,Burkina Faso
3660,4026,12.27792938,-1.740140917,305,-10.77310899,-53.08981997,-84,Burkina Faso
3064,4361,12.27792938,-1.740140917,305,-10.77310899,-53.08981997,244,Burkina Faso
3411,4467,12.27792938,-1.740140917,0,12.27792938,-1.740140917,15,Burkina Faso
3636,4230,5.685952286,12.74359412,610,-10.77310899,-53.08981997,457,Cameroon
3038,4714,5.685952286,12.74359412,305,3.90115501,-73.07336878,3254,Cameroon
3737,4895,5.685952286,12.74359412,2438,3.90115501,-73.07336878,6309,Cameroon
3904,4521,5.685952286,12.74359412,0,3.90115501,-73.07336878,160,Cameroon
3366,4656,5.685952286,12.74359412,4572,-1.427420251,-78.76707246,244,Cameroon
3668,4390,5.685952286,12.74359412,0,-1.427420251,-78.76707246,2926,Cameroon
3761,4105,5.685952286,12.74359412,7315,-1.427420251,-78.76707246,8092,Cameroon
3239,4690,5.685952286,12.74359412,0,14.81922171,-86.6191446,259,Cameroon
3356,4370,-0.840231827,15.224294,610,-10.77310899,-53.08981997,351,Congo
3592,4463,-0.840231827,15.224294,0,-10.77310899,-53.08981997,358,Congo
3968,4220,-0.840231827,15.224294,-305,-10.77310899,-53.08981997,10668,Congo
3278,4014,-0.840231827,15.224294,305,-10.77310899,-53.08981997,701,Congo
3575,4436,-0.840231827,15.224294,0,-10.77310899,-53.08981997,937,Congo
3258,4668,-0.840231827,15.224294,0,-10.77310899,-53.08981997,6706,Congo
3739,4823,-0.840231827,15.224294,305,-10.77310899,-53.08981997,373,Congo
3162,4159,-0.840231827,15.224294,0,-10.77310899,-53.08981997,320,Congo
3838,4920,-0.840231827,15.224294,1219,-10.77310899,-53.08981997,2591,Congo
3705,4368,-0.840231827,15.224294,1829,-10.77310899,-53.08981997,1875,Congo
3091,4713,-0.840231827,15.224294,0,-10.77310899,-53.08981997,168,Congo
3735,4483,-0.840231827,15.224294,0,-10.77310899,-53.08981997,9754,Congo
3173,4534,-0.840231827,15.224294,7315,-10.77310899,-53.08981997,9479,Congo
3635,4901,-0.840231827,15.224294,9449,8.507187203,-80.1026627,9479,Congo
3614,4582,15.35849399,38.85148402,-305,-10.77310899,-53.08981997,7315,Eritrea
3734,4168,15.35849399,38.85148402,305,3.90115501,-73.07336878,191,Eritrea
3169,4255,15.35849399,38.85148402,610,12.83990623,-85.03478316,884,Eritrea
3902,4356,15.35849399,38.85148402,0,8.507187203,-80.1026627,602,Eritrea
3533,4202,13.45265046,-15.38664081,1219,-10.77310899,-53.08981997,8534,Gambia
3700,4753,7.95984793,-1.207301223,305,-10.77310899,-53.08981997,1981,Ghana
3448,4111,7.95984793,-1.207301223,2438,-10.77310899,-53.08981997,191,Ghana
3673,4449,7.95984793,-1.207301223,0,-10.77310899,-53.08981997,198,Ghana
3756,4041,7.95984793,-1.207301223,1524,-10.77310899,-53.08981997,457,Ghana
3853,4898,7.95984793,-1.207301223,0,-10.77310899,-53.08981997,366,Ghana
3462,4294,7.95984793,-1.207301223,0,-10.77310899,-53.08981997,290,Ghana
3035,4302,7.95984793,-1.207301223,0,-10.77310899,-53.08981997,236,Ghana
3880,4619,7.95984793,-1.207301223,2134,-10.77310899,-53.08981997,1829,Ghana
3282,4562,7.95984793,-1.207301223,305,-10.77310899,-53.08981997,1486,Ghana
3114,4076,7.95984793,-1.207301223,10973,-10.77310899,-53.08981997,152,Ghana
3094,4968,7.95984793,-1.207301223,7315,-10.77310899,-53.08981997,1890,Ghana
3506,4556,7.95984793,-1.207301223,0,3.90115501,-73.07336878,160,Ghana
3339,4391,7.95984793,-1.207301223,1524,3.90115501,-73.07336878,312,Ghana
3325,4569,7.95984793,-1.207301223,305,3.90115501,-73.07336878,640,Ghana
3930,4024,7.95984793,-1.207301223,1829,3.90115501,-73.07336878,-15,Ghana
3118,4391,7.95984793,-1.207301223,0,3.90115501,-73.07336878,1379,Ghana
3296,4021,7.95984793,-1.207301223,0,-1.427420251,-78.76707246,0,Ghana
